eta,alpha,lambda,nrounds,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
0.01,0.1,0.1,100,0.1959355216010762,0.26146237611915263,0.1258831887733173,0.02704147195235206,0.07853886224335403,0.013215918014748473
0.01,0.5,0.1,100,0.19520825630803904,0.2633678837205488,0.12329294544739186,0.0270165880509551,0.08907853401047701,0.011658263416373897
0.01,1,0.1,100,0.19346780975065128,0.27146623470399434,0.12322105137864166,0.026226321469340595,0.09196645833361701,0.010065079802273565
0.01,0.1,1,100,0.19728414425152724,0.2548911804475569,0.1269912198613556,0.024591573005184032,0.08073814913744153,0.01067179081550137
0.01,0.5,1,100,0.19365447085196866,0.2765375599843563,0.12435308268069382,0.02615181004462964,0.08744578735372127,0.011664164914759197
0.01,1,1,100,0.19494744403618627,0.26713538433917455,0.12380758178193241,0.02263325568457684,0.07923881500543745,0.009014603329445377
0.01,0.1,5,100,0.19339685579086077,0.27113465462124403,0.12485128692150473,0.02473722239072495,0.07442971685064634,0.011506719669212347
0.01,0.5,5,100,0.19395029597378793,0.271430323142984,0.12534546843302768,0.02620385973945642,0.0819102788743541,0.010474075263330867
0.01,1,5,100,0.19140994365306396,0.2835516864605697,0.12360289292094452,0.026546363667863178,0.08648904723941613,0.011033435973859447
0.01,0.1,10,100,0.19310281739109939,0.2722743661877557,0.1243670218856348,0.026314532048594397,0.07312028913636466,0.011495054166673468
0.01,0.5,10,100,0.19289235291254062,0.27508313748934415,0.12437315004662279,0.023618365217012716,0.062346831409832,0.009596166133536019
0.01,1,10,100,0.19252513020119125,0.27311901850054615,0.12343545480206185,0.024549042129214407,0.07024199438190426,0.008663758826124301
0.01,0.1,15,100,0.19423481245741828,0.2655665334286564,0.1252119483504177,0.024920739393772092,0.07328701525854127,0.010171374863916956
0.01,0.5,15,100,0.19309331814930145,0.2712782146991462,0.12416363183146738,0.024043343251869347,0.07365106096709519,0.009687771563905089
0.01,1,15,100,0.192947419152243,0.2730173048007815,0.12357992519684548,0.025102572517113588,0.0736327442420608,0.010129032789190615
0.01,0.1,25,100,0.1919544357612755,0.27921463037106775,0.1246726090918256,0.02308480765815763,0.0668501753275134,0.00976506424039672
0.01,0.5,25,100,0.19266235119366634,0.2741139290034743,0.12508449300718505,0.023394806352369513,0.07133683332141771,0.00920924513453576
0.01,1,25,100,0.19399875467204092,0.2680578063748337,0.12376691225300931,0.02586375640183777,0.07733051281930203,0.009874228952921409
0.01,0.1,30,100,0.19095728263185174,0.28368084689816653,0.12340414345983616,0.023783569395215812,0.06842821503915071,0.010403838947531734
0.01,0.5,30,100,0.1934997736106891,0.27324212503462436,0.12428408687156378,0.026103441273967423,0.08966371140380276,0.009937335611868724
0.01,1,30,100,0.19294290577943632,0.2752244382086646,0.12236040438557695,0.02736975846439188,0.0958004648186905,0.010812076793786918
0.01,0.1,50,100,0.19299235301438925,0.2736429518356553,0.12345345805232179,0.026483663250056983,0.08307030109311835,0.011083726717814402
0.01,0.5,50,100,0.1922886429912405,0.2814622565882203,0.12309823782437793,0.02584756170467552,0.08333175031757253,0.009823789943416572
0.01,1,50,100,0.1917486643072741,0.2819031943788173,0.12199463462884451,0.027650698707389957,0.08931440414400284,0.010313515532382765
